month,profit_center,region,product_category,line_item_description,year,month_int,quarter,is_qtr_end,revenue
2024-01-01,Product_A,North America,Professional Services,Installation Fee,2024,1,1,0,3461.81
2024-01-01,Service_C,North America,Professional Services,Installation Fee,2024,1,1,0,3825.41
2024-01-01,Product_B,EMEA,Hardware Sales,Standard Monthly Fee,2024,1,1,0,5632.22
2024-01-01,Service_C,North America,Software Subscription,Legacy Product Support,2024,1,1,0,3868.49
2024-01-01,Product_A,APAC,Maintenance,Legacy Product Support,2024,1,1,0,6184.16
2024-01-01,Service_C,LATAM,Hardware Sales,Cloud Server Unit,2024,1,1,0,5341.64
2024-01-01,Sales_Channel_X,EMEA,Software Subscription,Annual Premium License,2024,1,1,0,5208.13
2024-01-01,Product_B,LATAM,Professional Services,Standard Monthly Fee,2024,1,1,0,4338.0
2024-01-01,Sales_Channel_X,LATAM,Hardware Sales,Standard Monthly Fee,2024,1,1,0,3605.58
2024-01-01,Product_B,EMEA,Maintenance,Annual Premium License,2024,1,1,0,8647.37
2024-01-01,Product_A,North America,Software Subscription,Annual Premium License,2024,1,1,0,5811.47
2024-01-01,Service_C,LATAM,Maintenance,Annual Premium License,2024,1,1,0,4878.12
2024-01-01,Product_A,EMEA,Software Subscription,Consulting Project Alpha,2024,1,1,0,7014.32
2024-01-01,Product_B,LATAM,Professional Services,Standard Monthly Fee,2024,1,1,0,7543.53
2024-01-01,Product_B,EMEA,Maintenance,Consulting Project Alpha,2024,1,1,0,4084.51
2024-01-01,Product_B,EMEA,Software Subscription,Consulting Project Alpha,2024,1,1,0,824.14
2024-01-01,Service_C,APAC,Professional Services,Annual Premium License,2024,1,1,0,5249.59
2024-01-01,Product_B,APAC,Hardware Sales,Consulting Project Alpha,2024,1,1,0,3401.57
2024-01-01,Service_C,North America,Hardware Sales,Cloud Server Unit,2024,1,1,0,5881.23
2024-01-01,Product_A,LATAM,Software Subscription,Standard Monthly Fee,2024,1,1,0,5419.2
2024-01-01,Sales_Channel_X,North America,Hardware Sales,Consulting Project Alpha,2024,1,1,0,4804.18
2024-01-01,Product_B,EMEA,Professional Services,Annual Premium License,2024,1,1,0,5025.19
2024-01-01,Sales_Channel_X,EMEA,Software Subscription,Annual Premium License,2024,1,1,0,5197.16
2024-01-01,Product_A,APAC,Software Subscription,Cloud Server Unit,2024,1,1,0,3928.83
2024-01-01,Service_C,North America,Hardware Sales,Cloud Server Unit,2024,1,1,0,5932.15
2024-01-01,Product_A,North America,Software Subscription,Installation Fee,2024,1,1,0,4286.14
2024-01-01,Sales_Channel_X,EMEA,Hardware Sales,Standard Monthly Fee,2024,1,1,0,3554.0
2024-01-01,Sales_Channel_X,EMEA,Professional Services,Annual Premium License,2024,1,1,0,5102.0
2024-01-01,Service_C,North America,Hardware Sales,Standard Monthly Fee,2024,1,1,0,5787.07
2024-01-01,Product_B,EMEA,Maintenance,Installation Fee,2024,1,1,0,2321.59
2024-01-01,Service_C,EMEA,Professional Services,Installation Fee,2024,1,1,0,2938.93
2024-01-01,Product_B,LATAM,Maintenance,Legacy Product Support,2024,1,1,0,4566.17
2024-01-01,Product_B,North America,Hardware Sales,Cloud Server Unit,2024,1,1,0,9633.72
2024-01-01,Sales_Channel_X,EMEA,Hardware Sales,Legacy Product Support,2024,1,1,0,2555.19
2024-01-01,Product_A,North America,Professional Services,Standard Monthly Fee,2024,1,1,0,5600.17
2024-01-01,Service_C,APAC,Software Subscription,Consulting Project Alpha,2024,1,1,0,6735.26
2024-01-01,Service_C,LATAM,Professional Services,Consulting Project Alpha,2024,1,1,0,5894.59
2024-01-01,Product_B,EMEA,Hardware Sales,Legacy Product Support,2024,1,1,0,2418.08
2024-01-01,Product_A,APAC,Maintenance,Cloud Server Unit,2024,1,1,0,4070.13
2024-01-01,Sales_Channel_X,APAC,Professional Services,Consulting Project Alpha,2024,1,1,0,4512.45
2024-01-01,Sales_Channel_X,EMEA,Hardware Sales,Installation Fee,2024,1,1,0,3635.61
2024-01-01,Product_A,North America,Maintenance,Cloud Server Unit,2024,1,1,0,4385.96
2024-01-01,Sales_Channel_X,LATAM,Software Subscription,Installation Fee,2024,1,1,0,4400.96
2024-01-01,Product_B,APAC,Maintenance,Installation Fee,2024,1,1,0,6468.92
2024-01-01,Product_B,APAC,Maintenance,Cloud Server Unit,2024,1,1,0,4327.36
2024-01-01,Service_C,North America,Maintenance,Standard Monthly Fee,2024,1,1,0,4660.55
2024-01-01,Product_B,APAC,Maintenance,Consulting Project Alpha,2024,1,1,0,3523.33
2024-01-01,Sales_Channel_X,APAC,Maintenance,Cloud Server Unit,2024,1,1,0,6427.93
2024-01-01,Service_C,North America,Maintenance,Legacy Product Support,2024,1,1,0,5407.38
2024-01-01,Product_A,APAC,Hardware Sales,Legacy Product Support,2024,1,1,0,5584.67
2024-01-01,Product_A,North America,Maintenance,Cloud Server Unit,2024,1,1,0,3322.45
2024-01-01,Product_B,North America,Hardware Sales,Cloud Server Unit,2024,1,1,0,6772.73
2024-01-01,Product_B,APAC,Software Subscription,Installation Fee,2024,1,1,0,1038.25
2024-01-01,Sales_Channel_X,APAC,Professional Services,Annual Premium License,2024,1,1,0,6377.93
2024-01-01,Sales_Channel_X,APAC,Maintenance,Consulting Project Alpha,2024,1,1,0,6583.64
2024-01-01,Product_B,LATAM,Hardware Sales,Consulting Project Alpha,2024,1,1,0,5349.44
2024-01-01,Product_A,North America,Hardware Sales,Installation Fee,2024,1,1,0,4697.02
2024-01-01,Sales_Channel_X,EMEA,Maintenance,Consulting Project Alpha,2024,1,1,0,3891.2
2024-01-01,Product_B,North America,Hardware Sales,Consulting Project Alpha,2024,1,1,0,3658.4
2024-01-01,Product_B,LATAM,Software Subscription,Cloud Server Unit,2024,1,1,0,7346.7
2024-01-01,Sales_Channel_X,North America,Maintenance,Legacy Product Support,2024,1,1,0,4528.97
2024-01-01,Service_C,APAC,Professional Services,Installation Fee,2024,1,1,0,3050.64
2024-01-01,Product_B,EMEA,Professional Services,Installation Fee,2024,1,1,0,5829.53
2024-01-01,Sales_Channel_X,EMEA,Software Subscription,Installation Fee,2024,1,1,0,2449.17
2024-01-01,Product_B,EMEA,Maintenance,Legacy Product Support,2024,1,1,0,6274.09
2024-01-01,Sales_Channel_X,North America,Software Subscription,Cloud Server Unit,2024,1,1,0,4796.29
2024-01-01,Product_A,North America,Software Subscription,Cloud Server Unit,2024,1,1,0,2552.69
2024-01-01,Service_C,LATAM,Hardware Sales,Legacy Product Support,2024,1,1,0,3748.51
2024-01-01,Sales_Channel_X,LATAM,Maintenance,Standard Monthly Fee,2024,1,1,0,2111.68
2024-01-01,Product_B,APAC,Professional Services,Legacy Product Support,2024,1,1,0,5108.68
2024-01-01,Service_C,LATAM,Hardware Sales,Installation Fee,2024,1,1,0,4751.7
2024-01-01,Product_B,North America,Maintenance,Consulting Project Alpha,2024,1,1,0,5292.43
2024-01-01,Sales_Channel_X,EMEA,Hardware Sales,Legacy Product Support,2024,1,1,0,5410.32
2024-01-01,Product_A,EMEA,Software Subscription,Installation Fee,2024,1,1,0,4232.92
2024-01-01,Service_C,APAC,Maintenance,Standard Monthly Fee,2024,1,1,0,5273.91
2024-01-01,Sales_Channel_X,LATAM,Hardware Sales,Standard Monthly Fee,2024,1,1,0,3416.56
2024-01-01,Service_C,LATAM,Software Subscription,Consulting Project Alpha,2024,1,1,0,5823.22
2024-01-01,Product_B,APAC,Software Subscription,Legacy Product Support,2024,1,1,0,3856.44
2024-01-01,Product_A,North America,Software Subscription,Legacy Product Support,2024,1,1,0,5843.36
2024-01-01,Product_B,North America,Professional Services,Consulting Project Alpha,2024,1,1,0,5324.52
2024-01-01,Service_C,EMEA,Maintenance,Cloud Server Unit,2024,1,1,0,4503.97
2024-01-01,Sales_Channel_X,LATAM,Hardware Sales,Consulting Project Alpha,2024,1,1,0,5938.95
2024-01-01,Sales_Channel_X,LATAM,Maintenance,Legacy Product Support,2024,1,1,0,4198.42
2024-01-01,Service_C,APAC,Professional Services,Cloud Server Unit,2024,1,1,0,7345.29
2024-01-01,Product_A,LATAM,Hardware Sales,Cloud Server Unit,2024,1,1,0,7609.71
2024-01-01,Product_B,LATAM,Maintenance,Legacy Product Support,2024,1,1,0,5108.81
2024-01-01,Product_B,EMEA,Professional Services,Consulting Project Alpha,2024,1,1,0,5247.34
2024-01-01,Product_B,APAC,Maintenance,Installation Fee,2024,1,1,0,7631.42
2024-01-01,Product_B,LATAM,Software Subscription,Consulting Project Alpha,2024,1,1,0,3026.32
2024-01-01,Product_A,North America,Maintenance,Installation Fee,2024,1,1,0,8887.08
2024-01-01,Service_C,LATAM,Professional Services,Standard Monthly Fee,2024,1,1,0,4185.67
